127.0.0.1 - - [28/May/2019:09:30:01 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [28/May/2019:09:32:03 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [28/May/2019:09:32:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/May/2019:09:34:28 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [28/May/2019:09:34:42 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:35:28 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [28/May/2019:09:35:46 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [28/May/2019:09:35:47 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:35:53 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:35:53 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:35:54 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:36:38 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:36:40 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:36:41 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:36:41 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:36:41 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:36:43 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:36:58 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:32 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:46 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:55 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:56 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:57 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:57 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:57 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:57 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:57 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:58 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:58 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:58 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:58 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:58 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:58 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:59 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:59 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:59 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:37:59 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:04 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:05 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:05 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:05 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:05 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:05 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:11 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:38:13 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:09:41:17 +0900] "GET /edu/htmlexam/homework.html HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [28/May/2019:09:41:17 +0900] "GET /edu/htmlexam/burningsun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:14:54 +0900] "GET /edu/htmlexam/exam1.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [28/May/2019:10:14:54 +0900] "GET /edu/images/totoro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:14:54 +0900] "GET /edu/images/java_duke.gif HTTP/1.1" 200 5709
0:0:0:0:0:0:0:1 - - [28/May/2019:10:14:54 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/May/2019:10:15:00 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [28/May/2019:10:15:23 +0900] "GET /edu/htmlexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:15:23 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/May/2019:10:31:57 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [28/May/2019:10:35:46 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [28/May/2019:10:35:59 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:35:59 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:00 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:04 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:04 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:05 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:05 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:29 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:30 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:36:32 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2019:10:37:07 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [28/May/2019:10:37:18 +0900] "GET /edu/cssexam/exam1.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/May/2019:10:41:56 +0900] "GET /edu/cssexam/exam1-1.html HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [28/May/2019:10:42:00 +0900] "GET /edu/cssexam/exam1-1.html HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [28/May/2019:10:42:01 +0900] "GET /edu/cssexam/exam1-1.html HTTP/1.1" 404 1147
