127.0.0.1 - - [11/Jun/2019:10:30:21 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:25 +0900] "GET /edu/jsexam/ajaxexam/exam8.hmtl HTTP/1.1" 404 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:29 +0900] "GET /edu/jsexam/ajaxexam/exam8.hmtl HTTP/1.1" 404 1157
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:36 +0900] "GET /edu/ajaxexam/exam8.hmtl HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:55 +0900] "GET /edu/ajaxexam/exam8.hmtl HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:30:59 +0900] "GET /edu/ajaxexam/exam8.html HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:31:05 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:31:18 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:31:21 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:31:40 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:33:37 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:44:07 +0900] "GET /edu/ajaxexam/exam9.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:44:10 +0900] "GET /edu/images/duke_luau.png HTTP/1.1" 200 63534
0:0:0:0:0:0:0:1 - - [11/Jun/2019:10:44:15 +0900] "GET /edu/ajaxexam/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:05:52 +0900] "GET /edu/ajaxexam/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:05:56 +0900] "GET /edu/ajaxexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:06:02 +0900] "GET /edu/ajaxexam/exam8.html HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:06:12 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:10:42 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:11:03 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:11:11 +0900] "POST /edu/ajaxexam/content/login.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:28:26 +0900] "GET /edu/jsexam/dndexam/exam6.html HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:28:26 +0900] "GET /edu/jsexam/dndexam/dragdrop.css HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [11/Jun/2019:11:37:14 +0900] "GET /edu/jsexam/dndexam/exam7.html HTTP/1.1" 200 2428
70.12.113.172 - - [11/Jun/2019:14:08:11 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4034
70.12.113.172 - - [11/Jun/2019:14:08:11 +0900] "GET /edu/burningsun.jpg HTTP/1.1" 404 1137
70.12.113.172 - - [11/Jun/2019:14:08:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
70.12.113.172 - - [11/Jun/2019:14:08:56 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4047
